tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6,predicted_x_mm,predicted_y_mm,predicted_z_mm
743,2007,2010,3276,2098,2873,2779,0.0,0.0,0.0
804,2007,2011,3276,2092,2883,2883,0.0,0.0,0.0
906,1986,2011,3276,2092,2913,2952,0.0,0.0,0.0
998,1986,2011,3276,2092,2907,3038,0.0,0.0,0.0
1100,1986,2011,3276,2092,2917,3134,0.0,0.0,0.0
1191,1987,2011,3276,2092,2889,3249,0.0,0.0,0.0
1300,2002,2011,3276,2091,2882,3349,0.0,0.0,0.0
1375,2014,2011,3276,2090,2837,3465,0.0,0.0,0.0
1473,2023,2011,3276,2090,2815,3527,0.0,0.0,0.0
1555,2095,2011,3275,2090,2782,3603,0.0,0.0,0.0
1674,2115,2011,3207,2090,2837,3712,0.0,0.0,0.0
1606,2114,2011,3217,2092,2781,3637,0.0,0.0,0.0
1546,2114,2011,3243,2091,2795,3579,0.0,0.0,0.0
1464,2093,2011,3276,2092,2801,3492,0.0,0.0,0.0
1372,2061,2011,3276,2092,2829,3397,0.0,0.0,0.0
1251,2026,2011,3276,2092,2873,3279,0.0,0.0,0.0
1134,2007,2012,3276,2092,2901,3169,0.0,0.0,0.0
968,2005,2012,3276,2092,2908,2987,0.0,0.0,0.0
835,2005,2013,3276,2092,2903,2844,0.0,0.0,0.0
675,2035,2013,3276,2092,2850,2725,0.0,0.0,0.0
758,2063,2013,3252,2089,2849,2814,0.0,0.0,0.0
819,2063,2013,3262,2090,2849,2814,0.0,0.0,0.0
902,2063,2013,3262,2090,2830,2903,0.0,0.0,0.0
982,2060,2013,3265,2090,2853,2973,0.0,0.0,0.0
1064,2060,2013,3266,2089,2847,3082,0.0,0.0,0.0
1135,2060,2013,3266,2089,2842,3185,0.0,0.0,0.0
1237,2060,2013,3265,2089,2849,3282,0.0,0.0,0.0
1322,2060,2013,3260,2089,2840,3376,0.0,0.0,0.0
1387,2060,2013,3259,2089,2832,3441,0.0,0.0,0.0
1437,2062,2013,3259,2089,2833,3498,0.0,0.0,0.0
1486,2118,2013,3228,2089,2818,3548,0.0,0.0,0.0
1405,2118,2013,3228,2091,2804,3456,0.0,0.0,0.0
1299,2118,2013,3228,2091,2821,3355,0.0,0.0,0.0
1200,2118,2013,3228,2091,2815,3257,0.0,0.0,0.0
1127,2118,2013,3228,2091,2808,3201,0.0,0.0,0.0
1067,2118,2013,3229,2091,2806,3139,0.0,0.0,0.0
991,2118,2013,3232,2092,2811,3040,0.0,0.0,0.0
900,2118,2013,3232,2092,2799,2970,0.0,0.0,0.0
838,2118,2013,3233,2092,2811,2894,0.0,0.0,0.0
785,2118,2013,3233,2092,2802,2837,0.0,0.0,0.0
724,2118,2013,3234,2092,2807,2777,0.0,0.0,0.0
681,2118,2013,3235,2092,2829,2756,0.0,0.0,0.0
616,2112,2013,3234,2092,2851,2654,0.0,0.0,0.0
580,2043,2013,3276,2092,2873,2593,0.0,0.0,0.0
584,2016,2019,3276,2090,2911,2593,0.0,0.0,0.0
631,1986,2051,3276,2090,2928,2644,0.0,0.0,0.0
746,1963,2059,3276,2090,2951,2771,0.0,0.0,0.0
836,1953,2059,3276,2090,2953,2839,0.0,0.0,0.0
917,1927,2059,3276,2090,2960,2930,0.0,0.0,0.0
1023,1925,2059,3276,2090,2960,3036,0.0,0.0,0.0
1108,1925,2059,3276,2090,2959,3121,0.0,0.0,0.0
1191,1925,2059,3276,2090,2949,3197,0.0,0.0,0.0
1266,1925,2059,3276,2090,2932,3265,0.0,0.0,0.0
1330,1925,2059,3276,2090,2935,3325,0.0,0.0,0.0
1378,1925,2059,3276,2090,2912,3378,0.0,0.0,0.0
1446,1948,2056,3276,2090,2898,3430,0.0,0.0,0.0
1561,2013,2013,3276,2090,2844,3570,0.0,0.0,0.0
1577,2019,2013,3275,2090,2809,3626,0.0,0.0,0.0
1500,2024,2013,3275,2091,2849,3504,0.0,0.0,0.0
1409,2018,2012,3275,2091,2874,3416,0.0,0.0,0.0
1341,1985,2011,3276,2092,2896,3340,0.0,0.0,0.0
1262,1985,2011,3276,2092,2910,3285,0.0,0.0,0.0
1155,1985,2011,3276,2092,2921,3180,0.0,0.0,0.0
1099,1985,2011,3276,2092,2916,3146,0.0,0.0,0.0
1030,1985,2011,3276,2092,2903,3096,0.0,0.0,0.0
950,1985,2011,3276,2092,2906,2999,0.0,0.0,0.0
867,1985,2011,3276,2092,2898,2936,0.0,0.0,0.0
770,1990,2011,3276,2092,2869,2841,0.0,0.0,0.0
734,2044,2011,3276,2092,2799,2801,0.0,0.0,0.0
741,2066,2011,3276,2090,2778,2842,0.0,0.0,0.0
832,2067,2011,3276,2090,2781,2924,0.0,0.0,0.0
903,2069,2011,3276,2090,2777,2974,0.0,0.0,0.0
960,2069,2011,3276,2090,2754,3045,0.0,0.0,0.0
1047,2091,2011,3276,2090,2760,3101,0.0,0.0,0.0
1118,2092,2011,3276,2090,2779,3165,0.0,0.0,0.0
